implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
opq,4,1,1.0,0.5,9.0,5.0,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.5333333333333332,10.795918367346932,5.897959183673466,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.5666666666666667,13.071005917159763,7.035502958579881,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.6000000000000001,16.000000000000007,8.500000000000004,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.6333333333333333,19.842975206611566,10.421487603305783,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.6666666666666667,25.000000000000018,13.000000000000009,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.7,32.11111111111111,16.555555555555554,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.7333333333333334,42.25000000000002,21.62500000000001,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.7666666666666666,57.326530612244866,29.163265306122433,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.8333333333333333,120.99999999999989,60.99999999999994,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.8666666666666667,196.0000000000001,98.50000000000006,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.8999999999999999,360.9999999999993,180.99999999999966,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.9333333333333333,841.0000000000005,421.0000000000002,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.9666666666666666,1000.0,500.5,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,1.0,1000.0,500.5,0.0,8192,1024,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-1.0,0.0,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.9666666666666667,0.00028727377190462496,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.9333333333333333,0.0011890606420927462,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.9,0.002770083102493074,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.8666666666666667,0.0051020408163265285,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.8333333333333334,0.00826446280991735,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.8,0.012345679012345671,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.7666666666666666,0.01744393022427911,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.7333333333333334,0.023668639053254423,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.7,0.03114186851211074,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.6666666666666667,0.03999999999999998,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.6333333333333333,0.050395668471470235,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.6,0.0625,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.5666666666666667,0.07650520597555456,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.5333333333333333,0.09262759924385634,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.5,0.1111111111111111,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.4666666666666667,0.13223140495867766,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.43333333333333335,0.1563007030827474,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.4,0.18367346938775514,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.3666666666666667,0.2147531231409875,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.33333333333333337,0.24999999999999994,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.30000000000000004,0.28994082840236685,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.2666666666666667,0.33518005540166207,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.2333333333333334,0.3864134404674944,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.19999999999999996,0.44444444444444453,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.16666666666666663,0.5102040816326533,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.1333333333333333,0.5847750865051904,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.09999999999999998,0.6694214876033057,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.06666666666666665,0.765625,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,-0.033333333333333326,0.8751300728407911,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.0,1.0,1.0,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.033333333333333215,1.142687277051129,1.0713436385255646,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.06666666666666665,1.3061224489795917,1.1530612244897958,0.016666666666666666,8192,1024,255,477,477,0,0.0,0,1e-12
opq,4,1,1.0,0.10000000000000009,1.493827160493828,1.246913580246914,0.016666666666666666,8192,1024,255,477,477,0,0.0,0,1e-12
opq,4,1,1.0,0.1333333333333333,1.7100591715976332,1.3550295857988166,0.016666666666666666,8192,1024,255,479,479,0,0.0,0,1e-12
opq,4,1,1.0,0.16666666666666674,1.9600000000000004,1.4800000000000002,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.016666666666666666,8192,1024,255,477,477,0,0.0,0,1e-12
opq,4,1,1.0,0.2333333333333334,2.5879017013232524,1.7939508506616262,0.016666666666666666,8192,1024,255,477,477,0,0.0,0,1e-12
opq,4,1,1.0,0.2666666666666666,2.9834710743801645,1.9917355371900822,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.30000000000000004,3.4489795918367356,2.224489795918368,0.016666666666666666,8192,1024,255,479,479,0,0.0,0,1e-12
opq,4,1,1.0,0.33333333333333326,3.999999999999999,2.4999999999999996,0.016666666666666666,8192,1024,255,477,477,0,0.0,0,1e-12
opq,4,1,1.0,0.3666666666666667,4.656509695290859,2.8282548476454297,0.016666666666666666,8192,1024,255,478,478,0,0.0,0,1e-12
opq,4,1,1.0,0.3999999999999999,5.444444444444443,3.2222222222222214,0.016666666666666666,8192,1024,255,477,477,0,0.004603794642857143,1,1e-12
opq,4,1,1.0,0.43333333333333335,6.397923875432525,3.6989619377162626,0.016666666666666666,8192,1024,255,477,477,0,0.011439732142857142,1,1e-12
opq,4,1,1.0,0.46666666666666656,7.562499999999996,4.281249999999998,0.016666666666666666,8192,1024,255,479,479,0,0.019112723214285716,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.016666666666666666,8192,1024,255,480,480,0,0.0234375,2,1e-12
opq,4,1,1.0,0.5333333333333332,10.795918367346932,5.897959183673466,0.016666666666666666,8192,1024,255,478,478,0,0.0322265625,3,1e-12
opq,4,1,1.0,0.5666666666666667,13.071005917159763,7.035502958579881,0.016666666666666666,8192,1024,255,478,478,0,0.046177455357142856,5,1e-12
opq,4,1,1.0,0.6000000000000001,16.000000000000007,8.500000000000004,0.016666666666666666,8192,1024,255,476,476,0,0.060546875,6,1e-12
opq,4,1,1.0,0.6333333333333333,19.842975206611566,10.421487603305783,0.016666666666666666,8192,1024,255,479,479,0,0.0830078125,8,1e-12
opq,4,1,1.0,0.6666666666666667,25.000000000000018,13.000000000000009,0.016666666666666666,8192,1024,255,481,474,0,0.10784040178571429,10,1e-12
opq,4,1,1.0,0.7,32.11111111111111,16.555555555555554,0.016666666666666666,8192,1024,255,463,463,0,0.14453125,14,1e-12
opq,4,1,1.0,0.7333333333333334,42.25000000000002,21.62500000000001,0.016666666666666666,8192,1024,255,476,476,0,0.203125,19,1e-12
opq,4,1,1.0,0.7666666666666666,57.326530612244866,29.163265306122433,0.016666666666666666,8192,1024,255,466,466,0,0.27901785714285715,27,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.016666666666666666,8192,1024,255,492,492,0,0.4252232142857143,38,1e-12
opq,4,1,1.0,0.8333333333333333,120.99999999999989,60.99999999999994,0.016666666666666666,8192,1024,255,427,427,0,0.5652901785714286,58,1e-12
opq,4,1,1.0,0.8666666666666667,196.0000000000001,98.50000000000006,0.016666666666666666,8192,1024,255,492,492,0,1.0721261160714286,96,1e-12
opq,4,1,1.0,0.8999999999999999,360.9999999999993,180.99999999999966,0.016666666666666666,8192,1024,255,542,507,0,2.178013392857143,178,1e-12
opq,4,1,1.0,0.9333333333333333,841.0000000000005,421.0000000000002,0.016666666666666666,8192,1024,255,421,255,166,1.4669363839285714,252,0.39429928741092635
opq,4,1,1.0,0.9666666666666666,1000.0,500.5,0.016666666666666666,8192,1024,255,500,255,245,1.4714006696428572,252,0.49
opq,4,1,1.0,1.0,1000.0,500.5,0.016666666666666666,8192,1024,255,500,255,245,1.4714006696428572,252,0.49
opq,4,1,1.0,-1.0,0.0,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.9666666666666667,0.00028727377190462496,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.9333333333333333,0.0011890606420927462,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.9,0.002770083102493074,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.8666666666666667,0.0051020408163265285,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.8333333333333334,0.00826446280991735,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.8,0.012345679012345671,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.7666666666666666,0.01744393022427911,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.7333333333333334,0.023668639053254423,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.7,0.03114186851211074,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.6666666666666667,0.03999999999999998,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.6333333333333333,0.050395668471470235,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.6,0.0625,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.5666666666666667,0.07650520597555456,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.5333333333333333,0.09262759924385634,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.5,0.1111111111111111,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.4666666666666667,0.13223140495867766,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.43333333333333335,0.1563007030827474,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.4,0.18367346938775514,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.3666666666666667,0.2147531231409875,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.33333333333333337,0.24999999999999994,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.30000000000000004,0.28994082840236685,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.2666666666666667,0.33518005540166207,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.2333333333333334,0.3864134404674944,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.19999999999999996,0.44444444444444453,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.16666666666666663,0.5102040816326533,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.1333333333333333,0.5847750865051904,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.09999999999999998,0.6694214876033057,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.06666666666666665,0.765625,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,-0.033333333333333326,0.8751300728407911,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.0,1.0,1.0,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.033333333333333215,1.142687277051129,1.0713436385255646,0.03333333333333333,8192,1024,255,955,955,0,0.0,0,1e-12
opq,4,1,1.0,0.06666666666666665,1.3061224489795917,1.1530612244897958,0.03333333333333333,8192,1024,255,955,955,0,0.0,0,1e-12
opq,4,1,1.0,0.10000000000000009,1.493827160493828,1.246913580246914,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.1333333333333333,1.7100591715976332,1.3550295857988166,0.03333333333333333,8192,1024,255,957,957,0,0.0,0,1e-12
opq,4,1,1.0,0.16666666666666674,1.9600000000000004,1.4800000000000002,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.03333333333333333,8192,1024,255,955,955,0,0.0,0,1e-12
opq,4,1,1.0,0.2333333333333334,2.5879017013232524,1.7939508506616262,0.03333333333333333,8192,1024,255,954,954,0,0.0,0,1e-12
opq,4,1,1.0,0.2666666666666666,2.9834710743801645,1.9917355371900822,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.30000000000000004,3.4489795918367356,2.224489795918368,0.03333333333333333,8192,1024,255,957,957,0,0.0,0,1e-12
opq,4,1,1.0,0.33333333333333326,3.999999999999999,2.4999999999999996,0.03333333333333333,8192,1024,255,955,955,0,0.0,0,1e-12
opq,4,1,1.0,0.3666666666666667,4.656509695290859,2.8282548476454297,0.03333333333333333,8192,1024,255,956,956,0,0.0,0,1e-12
opq,4,1,1.0,0.3999999999999999,5.444444444444443,3.2222222222222214,0.03333333333333333,8192,1024,255,954,954,0,0.008649553571428572,1,1e-12
opq,4,1,1.0,0.43333333333333335,6.397923875432525,3.6989619377162626,0.03333333333333333,8192,1024,255,958,958,0,0.023297991071428572,1,1e-12
opq,4,1,1.0,0.46666666666666656,7.562499999999996,4.281249999999998,0.03333333333333333,8192,1024,255,959,959,0,0.03850446428571429,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.03333333333333333,8192,1024,255,955,955,0,0.04994419642857143,2,1e-12
opq,4,1,1.0,0.5333333333333332,10.795918367346932,5.897959183673466,0.03333333333333333,8192,1024,255,956,956,0,0.06459263392857142,3,1e-12
opq,4,1,1.0,0.5666666666666667,13.071005917159763,7.035502958579881,0.03333333333333333,8192,1024,255,957,957,0,0.09291294642857142,5,1e-12
opq,4,1,1.0,0.6000000000000001,16.000000000000007,8.500000000000004,0.03333333333333333,8192,1024,255,952,952,0,0.123046875,6,1e-12
opq,4,1,1.0,0.6333333333333333,19.842975206611566,10.421487603305783,0.03333333333333333,8192,1024,255,948,948,0,0.16448102678571427,8,1e-12
opq,4,1,1.0,0.6666666666666667,25.000000000000018,13.000000000000009,0.03333333333333333,8192,1024,255,962,955,0,0.22014508928571427,10,1e-12
opq,4,1,1.0,0.7,32.11111111111111,16.555555555555554,0.03333333333333333,8192,1024,255,944,944,0,0.2943638392857143,14,1e-12
opq,4,1,1.0,0.7333333333333334,42.25000000000002,21.62500000000001,0.03333333333333333,8192,1024,255,952,952,0,0.40597098214285715,19,1e-12
opq,4,1,1.0,0.7666666666666666,57.326530612244866,29.163265306122433,0.03333333333333333,8192,1024,255,963,963,0,0.5767299107142857,27,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.03333333333333333,8192,1024,255,943,943,0,0.8191964285714286,38,1e-12
opq,4,1,1.0,0.8333333333333333,120.99999999999989,60.99999999999994,0.03333333333333333,8192,1024,255,915,915,0,1.2131696428571428,58,1e-12
opq,4,1,1.0,0.8666666666666667,196.0000000000001,98.50000000000006,0.03333333333333333,8192,1024,255,985,985,0,2.1499720982142856,96,1e-12
opq,4,1,1.0,0.8999999999999999,360.9999999999993,180.99999999999966,0.03333333333333333,8192,1024,255,1085,1047,0,4.380161830357143,178,1e-12
opq,4,1,1.0,0.9333333333333333,841.0000000000005,421.0000000000002,0.03333333333333333,8192,1024,255,842,510,332,2.9327566964285716,252,0.39429928741092635
opq,4,1,1.0,0.9666666666666666,1000.0,500.5,0.03333333333333333,8192,1024,255,1001,510,491,2.939453125,252,0.4905094905094905
opq,4,1,1.0,1.0,1000.0,500.5,0.03333333333333333,8192,1024,255,1001,510,491,2.939453125,252,0.4905094905094905
opq,4,1,1.0,-1.0,0.0,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9666666666666667,0.00028727377190462496,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9333333333333333,0.0011890606420927462,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.9,0.002770083102493074,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8666666666666667,0.0051020408163265285,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8333333333333334,0.00826446280991735,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.8,0.012345679012345671,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7666666666666666,0.01744393022427911,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7333333333333334,0.023668639053254423,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.7,0.03114186851211074,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6666666666666667,0.03999999999999998,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6333333333333333,0.050395668471470235,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.6,0.0625,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.5666666666666667,0.07650520597555456,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.5333333333333333,0.09262759924385634,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.5,0.1111111111111111,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.4666666666666667,0.13223140495867766,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.43333333333333335,0.1563007030827474,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.4,0.18367346938775514,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.3666666666666667,0.2147531231409875,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.33333333333333337,0.24999999999999994,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.30000000000000004,0.28994082840236685,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
opq,4,1,1.0,-0.2666666666666667,0.33518005540166207,1.0,0.05,8192,1024,255,1434,1434,0,0.0,0,1e-12
